"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
6766,"Females",2007,0,"Lambs",2007,0.18459,47,1.61404106836913,15,"G",0
6777,"Females",2007,0,"Lambs",2007,0.37392,47,1.97885145371574,95,"E",1
8783,"Females",2012,0,"Lambs",2012,0.29197,21,1.99362341524049,95,"F",1
7207,"Males",2009,0,"Lambs",2009,0.0715,43,1.92182972469053,15,"F",0
6605,"Females",2007,0,"Lambs",2007,0.35417,48,1.5259327089119,15,"H",1
4615,"Females",2001,0,"Lambs",2001,0.0677,23,2.13870585647139,95,"G",0
6769,"Females",2007,0,"Lambs",2007,0.17585,47,1.9003558115359,16,"B",0
6724,"Females",2007,0,"Lambs",2007,0.24608,47,1.98674801888083,16,"C",1
4663,"Males",2001,0,"Lambs",2001,0.27198,24,2.1428027936461,16,"D",0
7108,"Females",2009,0,"Lambs",2009,0.13671,42,2.27843153541213,95,"H",1
7234,"Females",2009,0,"Lambs",2009,0.23435,43,2.00119704358897,16,"D",0
6666,"Females",2007,0,"Lambs",2007,0.40736,48,1.92071325029746,16,"G",1
4590,"Females",2001,0,"Lambs",2001,0.44705,22,1.80666802467459,95,"B",0
4578,"Males",2001,0,"Lambs",2001,0.11349,22,1.6969591403102,16,"E",0
4673,"Females",2001,0,"Lambs",2001,0.30213,24,1.97107850281211,16,"D",0
4591,"Females",2001,0,"Lambs",2001,0.1984,22,2.16156003569307,16,"G",0
7339,"Males",2009,0,"Lambs",2009,0.12107,44,1.53281223699596,16,"B",1
7161,"Females",2009,0,"Lambs",2009,0.27124,48,1.86993727498113,16,"F",0
7221,"Males",2009,0,"Lambs",2009,0.20585,43,1.71646910792074,95,"F",0
7267,"Females",2009,0,"Lambs",2009,0.07902,44,2.042022653596,16,"E",1
4613,"Males",2001,0,"Lambs",2001,0.11058,23,1.6404796161299,17,"H",0
7229,"Females",2009,0,"Lambs",2009,0.2073,43,2.07404736033469,17,"A",0
7113,"Females",2009,0,"Lambs",2009,0.0272,42,1.80864229827905,17,"A",0
6672,"Females",2007,0,"Lambs",2007,0.07412,48,1.57191132180526,17,"C",0
4598,"Females",2001,0,"Lambs",2001,0.11017,23,1.54082849396373,17,"F",1
